jugador(a),Equipo,Minutos disputados,Posiciones,Edad,Atajadas p90,Ganancia de duelos aéreos de portero,Salidas p90,Efectividad de atajadas
D. Rodríguez,Puntarenas,971,"cf, rw, ramf",23,0,0,0,0
G. Taylor,Deportivo Saprissa,1525,"rb, dmf",25,0,0,0,0
J. Guadamúz,Municipal Liberia,1471,"lb5, lb, lw",21,0,0,0,0
T. Demetrius,Guadalupe,862,"cf, lw, rw",21,0,0,0,0
F. Lesme,Municipal Liberia,549,cf,24,0,0,0,0
J. Mora,Cartaginés,833,"lw, lamf, ramf",22,0,0,0,0
F. Piñar,Alajuelense,1094,rb,24,0,0,0,0
G. Villalobos,Alajuelense,1357,"lcb, rcb, cb",24,0,0,0,0
S. van der Putten,Alajuelense,730,"rcb, cb",21,0,0,0,0
R. Ramírez,Municipal Liberia,699,"lw, lcmf3, cf",22,0,0,0,0
K. Vargas,Alajuelense,702,"lw, lamf, ramf",24,0,0,0,0
A. Bran,Alajuelense,1606,"lcmf, rcmf, ldmf",25,0,0,0,0
P. Fonseca,San Carlos,625,"rcb3, rb",27,0,0,0,0
S. Johnson,Municipal Liberia,1462,"rb5, rb, rw",23,0,0,0,0
Bancy Hernández,Deportivo Saprissa,1389,"lw, ramf, lamf",25,0,0,0,0
H. Quirós,Herediano,1236,"rb, rb5",27,0,0,0,0
R. Rodríguez,Pérez Zeledón,930,"rcb, rb",23,0,0,0,0
C. Perez,Alajuelense,1149,"lw, rw, rcmf",21,0,0,0,0
K. Gómez,Puntarenas,1434,"rb5, rwb, rb",26,0,0,0,0
A. Hernández,Alajuelense,905,"rw, ramf, lcmf",24,0,0,0,0
K. Villalobos Chavarría,Puntarenas,972,"lcb3, lb, lwf",30,0,0,0,0
G. Sibaja Pérez,Herediano,616,"rw, lw",17,0,0,0,0
Alejandro Porras,Pérez Zeledón,739,"rcmf, lcmf, rdmf",30,0,0,0,0
A. Hudson,Municipal Liberia,991,"rw, rb5, cf",20,0,0,0,0
D. Masis,San Carlos,534,"lb5, lb, lwb",21,0,0,0,0
A. Matarrita,Deportivo Saprissa,563,"dmf, lcb3, rb",21,0,0,0,0
D. Ramírez Bolaños,Sporting San José,666,"lw, rw, cf",21,0,0,0,0
F. Khatami,Puntarenas,1385,"lcb3, lcmf, lcb",21,0,0,0,0
I. Gómez,Puntarenas,1560,"lwb, lb5, lb",27,0,0,0,0
J. Huertas,Municipal Liberia,1117,"cb, rcb, rb",31,0,0,0,0
S. Taylor,Deportivo Saprissa,1634,"rb, rb5",22,0,0,0,0
M. Pereira,Pérez Zeledón,1217,cf,21,0,0,0,0
Claudio Montero,Cartaginés,567,"rw, cf, ramf",20,0,0,0,0
R. Carballo,Puntarenas,1212,cf,30,0,0,0,0
F. Coronado,Sporting San José,814,"rcmf, dmf, rdmf",24,0,0,0,0
G. Castillo,San Carlos,1368,"lb, lb5, lwb",24,0,0,0,0
S. Acuña,Deportivo Saprissa,788,"rdmf, dmf, rcmf",23,0,0,0,0
J. Rivera Stuart,Pérez Zeledón,1115,"rb, rb5",29,0,0,0,0
J. Azofeifa,Deportivo Saprissa,1306,lb,25,0,0,0,0
J. Brenes,Deportivo Saprissa,900,"lcmf, ldmf",29,0,0,0,0
L. Díaz,Sporting San José,979,"rw, rcmf3",27,0,0,0,0
Junior Maleck,Guadalupe,823,cf,27,0,0,0,0
A. Gamboa,Alajuelense,737,"lcb, lcb3",27,0,0,0,0
D. González,Cartaginés,833,lb,30,0,0,0,0
G. Castro,Cartaginés,567,"ramf, rw, cf",24,0,0,0,0
K. Fuller,Herediano,857,"rb, rw, rb5",31,0,0,0,0
R. Araya,Herediano,689,"lw, lamf",26,0,0,0,0
Manuel Moran,Pérez Zeledón,1528,"rw, cf",28,0,0,0,0
A. Sinclair,Puntarenas,732,"rcmf, lcmf, rdmf",26,0,0,0,0
B. Martínez,San Carlos,907,cf,29,0,0,0,0
F. Faerrón,Cartaginés,1025,lcb,25,0,0,0,0
C. Pineda,Sporting San José,965,"lcmf, rcmf",28,0,0,0,0
A. Salazar,Alajuelense,1451,"rcb, rcb3, rb",27,0,0,0,0
Tomás Rodriguez,Deportivo Saprissa,1327,cf,27,0,0,0,0
R. Bolaños,Sporting San José,996,lb,27,0,0,0,0
R. Parkins,Alajuelense,998,"dmf, lcmf, ldmf",25,0,0,0,0
R. Márquez,Cartaginés,954,cf,28,0,0,0,0
C. Barahona,Cartaginés,1131,rb,23,0,0,0,0
J. Navarro,Sporting San José,817,"cf, lw",27,0,0,0,0
K. Guzmán,Guadalupe,1361,"rcb, rcb3",29,0,0,0,0
Y. Molina,Municipal Liberia,1544,"rcb3, rcb",30,0,0,0,0
L. Paradela,Deportivo Saprissa,1132,"lw, lamf, ramf",29,0,0,0,0
E. Morales,Guadalupe,985,"lw, rw, lamf",26,0,0,0,0
J. Méndez,Sporting San José,1551,"cf, lw",24,0,0,0,0
K. Porras,Pérez Zeledón,1063,lw,25,0,0,0,0
R. Cole,Puntarenas,759,"rw, rwf, amf",27,0,0,0,0
O. Sinclair,Deportivo Saprissa,600,"cf, lcmf",28,0,0,0,0
A. Soto,San Carlos,1575,"lw, cf, lcmf",23,0,0,0,0
R. Rivera,San Carlos,1108,"rcb3, rb, rwb",27,0,0,0,0
A. Amador,Guadalupe,893,"lw, rw, lamf",25,0,0,0,0
E. Pastrana,Pérez Zeledón,1492,lcb,26,0,0,0,0
D. Araya,Herediano,1475,"lb, lb5, lw",25,0,0,0,0
M. Villalobos Vega,Municipal Liberia,863,"lw, rcmf3, lcmf3",26,0,0,0,0
D. López,Cartaginés,1412,"rcmf, lcmf, cf",27,0,0,0,0
J. Ruiz,Guadalupe,983,"cf, amf",32,0,0,0,0
