jugador(a),Equipo,Minutos disputados,Posiciones,Edad,Pases precisos p90,Pases precisos al tercio final p90,Pases largos precisos p90,Pases precisos hacia adelante p90,Precisión de pase
K. Gómez,Puntarenas,1434,"rb5, rwb, rb",26,24.73,2.07,2.51,7.41,75.19
D. González,Cartaginés,833,lb,30,24.53,3.67,3.46,9.94,72.99
S. Lucumí,Alajuelense,677,"lw, cf, lamf",31,24.46,3.32,0.66,5.18,78.97
D. Masis,San Carlos,534,"lb5, lb, lwb",21,24.44,2.02,2.19,4.38,70.73
J. Guadamúz,Municipal Liberia,1471,"lb5, lb, lw",21,23.8,3,2.75,8.87,71.25
K. Brown,Herediano,1232,"rcb, cb, lcb",34,23.52,1.24,1.31,8.84,87.03
C. Reyes,Municipal Liberia,1459,"lcb, lcb3, rcb3",30,23.44,1.97,1.85,8.57,83.7
J. Hernández,Municipal Liberia,976,"cf, lw",32,23.42,2.4,1.2,6.92,71.35
R. Rodríguez,Pérez Zeledón,930,"rcb, rb",23,23.23,2.81,2.81,8.61,82.47
J. Venegas,San Carlos,1316,"rw, rwb, rb5",38,23.12,3.15,0.96,6.36,75.62
S. Acuña,Deportivo Saprissa,788,"rdmf, dmf, rcmf",23,23.07,3.77,0.91,7.2,79.22
A. Matarrita,Deportivo Saprissa,563,"dmf, lcb3, rb",21,22.86,2.24,1.44,8.47,80.34
M. Villalobos Vega,Municipal Liberia,863,"lw, rcmf3, lcmf3",26,22.73,2.4,0.52,6.47,81.95
E. Drummond Arroyo,Pérez Zeledón,903,"lcmf, dmf, rcmf",20,22.72,2.19,2.09,6.18,82.31
J. Huertas,Municipal Liberia,1117,"cb, rcb, rb",31,22.64,2.26,1.45,7.41,82.16
Alejandro Porras,Pérez Zeledón,739,"rcmf, lcmf, rdmf",30,22.41,2.8,1.83,8.77,84.02
R. Bolaños,Sporting San José,996,lb,27,22.32,3.07,2.89,7.32,70.17
I. Gómez,Puntarenas,1560,"lwb, lb5, lb",27,22.21,2.71,2.25,6.98,72.5
J. Azofeifa,Deportivo Saprissa,1306,lb,25,22.12,4.62,3.1,10.82,74.13
B. Sequeira,Municipal Liberia,688,"rb, rw",28,22.11,3.27,1.31,6.67,74.12
J. Aguirre,Pérez Zeledón,905,"lcmf, rcmf, dmf",35,21.98,2.98,1.79,7.16,77.27
A. Cruz,Herediano,1003,"lcmf, rcmf, cf",30,21.89,2.6,0.9,6.37,75.54
J. Valverde,Sporting San José,762,"rb, rb5, rw",30,21.61,3.9,2.6,6.26,65.36
Bancy Hernández,Deportivo Saprissa,1389,"lw, ramf, lamf",25,21.51,2.14,1.1,3.89,75.45
Y. Molina,Municipal Liberia,1544,"rcb3, rcb",30,21.28,1.63,2.51,8.86,85.28
R. Miranda,Guadalupe,1575,"cb, lcb, rcb",30,21.09,1.71,2.97,8.06,78.68
K. Guzmán,Guadalupe,1361,"rcb, rcb3",29,20.76,3.31,3.24,10.58,74.06
C. Perez,Alajuelense,1149,"lw, rw, rcmf",21,20.52,1.72,0.78,4.54,76.83
G. Taylor,Deportivo Saprissa,1525,"rb, dmf",25,20.42,2.66,2.07,7.32,74.41
R. Taylor,Puntarenas,881,"lw, lamf, ramf",28,19.72,1.23,0.51,4.49,80.42
R. Blanco,Deportivo Saprissa,777,rb,37,19.69,3.94,1.74,7.76,71.73
L. Hernández,Pérez Zeledón,1554,"lb, lb5",28,19.46,2.66,2.95,9.96,69.42
D. Colindres,Puntarenas,921,"lwf, cf, lw",41,19.45,2.83,1.86,4.2,71.33
K. Fuller,Herediano,857,"rb, rw, rb5",31,19.32,2.63,1.16,5.57,72.44
G. Méndez,Guadalupe,1666,"lb, lb5",34,19.23,2.54,2,8.86,75.26
G. Castro,Cartaginés,567,"ramf, rw, cf",24,19.05,2.54,1.9,3.97,71.01
F. Piñar,Alajuelense,1094,rb,24,19,1.65,1.4,6.75,81.34
L. Paradela,Deportivo Saprissa,1132,"lw, lamf, ramf",29,18.84,2.07,1.03,4.37,73.83
W. Francis,Municipal Liberia,1026,"lcb3, lb5, lb",35,18.77,2.02,2.98,9.12,73.79
R. Cole,Puntarenas,759,"rw, rwf, amf",27,18.62,0.95,0.59,3.44,82.2
Y. Salinas,Sporting San José,891,"rb, rcb3, rb5",27,18.59,2.42,2.42,5.66,68.91
C. Núñez,Cartaginés,1584,"cf, amf, lcmf",28,18.47,3.13,0.74,5.34,85.08
A. Soto,San Carlos,1575,"lw, cf, lcmf",23,18.29,2.86,1.03,6.06,75.65
Manuel Moran,Pérez Zeledón,1528,"rw, cf",28,17.96,2.47,0.77,5.07,72.27
M. Ajú,Pérez Zeledón,598,gk,26,17.61,1.2,4.67,8.13,89.31
M. Ureña,Sporting San José,676,"cf, amf",36,17.44,1.86,0.53,3.59,79.88
S. Taylor,Deportivo Saprissa,1634,"rb, rb5",22,16.91,1.21,0.99,5.45,73.27
A. Hudson,Municipal Liberia,991,"rw, rb5, cf",20,16.89,1.63,0.91,4.09,67.64
Claudio Montero,Cartaginés,567,"rw, cf, ramf",20,16.83,1.75,1.27,2.54,76.26
L. Ayala,Guadalupe,642,"lcb, lcb3, lcmf",28,16.68,3.22,2.52,8.41,78.81
G. Torres,Deportivo Saprissa,708,"rw, ramf",28,16.65,1.91,0.89,4.19,73.6
Á. Zaldívar,Alajuelense,885,"cf, amf, rw",32,16.37,2.54,1.12,5.8,75.94
K. Espinoza,Sporting San José,561,"rcb3, rcb",29,16.36,2.09,2.41,7.06,76.69
J. Ruiz,Guadalupe,983,"cf, amf",32,16.3,2.75,1.01,4.67,71.2
O. Sinclair,Deportivo Saprissa,600,"cf, lcmf",28,16.2,1.8,0.75,2.7,76.6
E. Morales,Guadalupe,985,"lw, rw, lamf",26,16.08,1.92,1.01,2.65,67.95
J. Aguilar,San Carlos,1171,"cf, rw, amf",31,15.91,0.54,0.15,1.61,77.82
J. Mora,Deportivo Saprissa,555,"lb, lwb",33,15.89,1.78,1.62,7.14,72.06
K. Porras,Pérez Zeledón,1063,lw,25,15.58,0.93,0.59,2.37,78.97
J. Venegas,Cartaginés,692,"cf, amf",37,15.22,1.04,0.52,2.99,75.48
D. Carvajal,Herediano,1642,gk,37,14.91,0.66,4.06,7.56,82.18
D. Ramírez Bolaños,Sporting San José,666,"lw, rw, cf",21,14.86,1.08,0.81,2.97,74.32
J. Méndez,Sporting San José,1551,"cf, lw",24,14.51,0.81,0.58,2.67,72.46
R. Ramírez,Municipal Liberia,699,"lw, lcmf3, cf",22,14.42,1.03,1.29,3.35,74.17
T. Demetrius,Guadalupe,862,"cf, lw, rw",21,14.41,0.52,0.42,2.71,64.19
L. Moreira,Sporting San José,1646,gk,36,14.05,1.31,4.32,8.97,83.44
G. Sibaja Pérez,Herediano,616,"rw, lw",17,14.03,0.73,0.29,2.63,73.85
B. Segura,Pérez Zeledón,1156,gk,29,14.01,0.31,4.67,6.62,86.96
Junior Maleck,Guadalupe,823,cf,27,14,1.09,0.11,2.08,76.65
A. Madriz,Deportivo Saprissa,1774,gk,22,13.6,0.91,3.45,6.85,88.16
K. Vargas,Alajuelense,702,"lw, lamf, ramf",24,13.59,0.9,0.51,1.67,71.62
A. Hernández,Alajuelense,905,"rw, ramf, lcmf",24,13.23,0.99,0.7,2.29,76.44
