jugador(a),Equipo,Minutos disputados,Posiciones,Edad,Duelos ofensivos ganados p90,Regates exitosos p90,Faltas recibidas p90
M. Angulo,Guadalupe,1535,"lcmf, rcmf, ldmf",39,1.93,0.47,1.76
R. Carballo,Puntarenas,1212,cf,30,1.93,0.52,0.74
S. Zúñiga,Cartaginés,1683,"lb, rw",29,1.87,1.23,0.48
A. Sinclair,Puntarenas,732,"rcmf, lcmf, rdmf",26,1.84,0.49,0.86
D. González,Cartaginés,833,lb,30,1.84,0.65,1.08
J. Leiva,Puntarenas,600,"rcmf, rdmf",33,1.8,0.15,0.9
U. Segura,Puntarenas,1389,"lcmf, rcmf, amf",32,1.75,0.65,0.71
R. Cisneros,Alajuelense,1412,cf,29,1.72,1.02,0.57
R. Matarrita,Alajuelense,1638,"lb, lwb",31,1.7,1.26,0.27
D. Masis,San Carlos,534,"lb5, lb, lwb",21,1.69,0.67,0.51
A. Bran,Alajuelense,1606,"lcmf, rcmf, ldmf",25,1.68,0.5,1.18
G. Taylor,Deportivo Saprissa,1525,"rb, dmf",25,1.65,0.53,0.83
R. Bolaños,Sporting San José,996,lb,27,1.63,0.81,1.08
E. Torres,Municipal Liberia,1121,cf,33,1.61,0.32,0.96
S. Acuña,Deportivo Saprissa,788,"rdmf, dmf, rcmf",23,1.6,0.34,0.69
A. Cruz,Herediano,1003,"lcmf, rcmf, cf",30,1.53,0.09,0.72
D. Ramírez Bolaños,Sporting San José,666,"lw, rw, cf",21,1.49,0,1.49
C. Borges,Alajuelense,915,"rcmf, rdmf",38,1.48,0.39,0.59
R. Cordoba,San Carlos,1387,"rcmf, lcmf, rcmf3",27,1.43,0.26,0.71
Á. Zaldívar,Alajuelense,885,"cf, amf, rw",32,1.42,0.31,0.61
F. Piñar,Alajuelense,1094,rb,24,1.32,0.58,0.99
Al. López,Sporting San José,1262,"rcmf, lcmf, lcmf3",33,1.28,0.43,0.43
D. Guzmán,Deportivo Saprissa,922,"ldmf, dmf, rcmf",36,1.27,0.29,0.78
R. Parkins,Alajuelense,998,"dmf, lcmf, ldmf",25,1.26,0.09,1.26
J. Azofeifa,Deportivo Saprissa,1306,lb,25,1.24,0.55,0.69
G. Villalobos,Alajuelense,1357,"lcb, rcb, cb",24,1.19,0.66,1.13
R. Blanco,Deportivo Saprissa,777,rb,37,1.16,0.58,0.81
H. Muñoz,Puntarenas,1490,"rcb3, rcb, rb",31,1.15,0.36,0.72
C. Pineda,Sporting San José,965,"lcmf, rcmf",28,1.12,0,1.21
K. Guzmán,Guadalupe,1361,"rcb, rcb3",29,1.12,0.2,0.66
C. Reyes,Municipal Liberia,1459,"lcb, lcb3, rcb3",30,1.11,0.43,0.37
L. Hernández,Pérez Zeledón,1554,"lb, lb5",28,1.1,0.29,0.69
F. Faerrón,Cartaginés,1025,lcb,25,1.05,0.18,0.79
C. Martínez,San Carlos,1415,"lcmf, dmf, cb",32,1.02,0.19,0.38
Y. Salinas,Sporting San José,891,"rb, rcb3, rb5",27,1.01,0.4,0.91
Y. Piedra,San Carlos,936,"lcb3, lcb",32,0.96,0.19,0.77
S. Rodríguez,Herediano,1585,"dmf, rcb3, lcmf",30,0.91,0.11,0.51
J. Aguirre,Pérez Zeledón,905,"lcmf, rcmf, dmf",35,0.9,0.4,0.1
A. Gamboa,Alajuelense,737,"lcb, lcb3",27,0.85,0,0.61
W. Francis,Municipal Liberia,1026,"lcb3, lb5, lb",35,0.79,0.26,0.44
