jugador(a),Equipo,Minutos disputados,Posiciones,Edad,Recuperaciones p90,Intercepciones p90,Barridas p90,Rechaces p90
J. Mora,Deportivo Saprissa,555,"lb, lwb",33,7.3,3.08,0.81,1.95
E. Drummond Arroyo,Pérez Zeledón,903,"lcmf, dmf, rcmf",20,7.28,3.99,0.3,2.09
S. Zúñiga,Cartaginés,1683,"lb, rw",29,7.27,2.99,0.11,1.5
D. Masis,San Carlos,534,"lb5, lb, lwb",21,7.25,3.03,0.34,1.52
R. Cordoba,San Carlos,1387,"rcmf, lcmf, rcmf3",27,7.2,2.73,0.26,0.84
Al. López,Sporting San José,1262,"rcmf, lcmf, lcmf3",33,7.2,1.85,0,0.43
J. Rivera Stuart,Pérez Zeledón,1115,"rb, rb5",29,7.18,3.96,0.73,2.34
R. Blanco,Deportivo Saprissa,777,rb,37,7.18,3.36,0.23,2.08
B. Alfaro,Cartaginés,589,"lcmf, rcmf, ldmf",29,7.18,2.9,0,0.61
I. Gómez,Puntarenas,1560,"lwb, lb5, lb",27,6.92,3.58,0.69,1.44
M. Ajú,Pérez Zeledón,598,gk,26,6.92,2.11,0.15,0.9
R. Leal,Herediano,728,"lw, rw, amf",29,6.8,2.97,0.12,0.12
B. Bonilla,Guadalupe,741,"rcmf, lb5, rdmf",29,6.68,4.13,0.24,1.34
U. Segura,Puntarenas,1389,"lcmf, rcmf, amf",32,6.48,2.07,0,0.32
Alejandro Porras,Pérez Zeledón,739,"rcmf, lcmf, rdmf",30,6.45,4.51,0.49,1.34
J. Brenes,Deportivo Saprissa,900,"lcmf, ldmf",29,6.3,2.3,0.3,0.5
C. Barahona,Cartaginés,1131,rb,23,6.29,2.71,0.08,2.71
K. Gómez,Puntarenas,1434,"rb5, rwb, rb",26,6.21,2.82,0.25,0.82
Y. Salinas,Sporting San José,891,"rb, rcb3, rb5",27,6.06,3.43,0.2,2.83
E. Aguilar,Herediano,1332,"rcmf, rw, amf",34,6.01,2.23,0.68,0.41
F. Piñar,Alajuelense,1094,rb,24,6.01,3.29,0.58,2.22
L. Paradela,Deportivo Saprissa,1132,"lw, lamf, ramf",29,5.88,3.26,0.24,0.56
D. Ramírez Bolaños,Sporting San José,666,"lw, rw, cf",21,5.81,2.97,0,1.08
A. Soto,San Carlos,1575,"lw, cf, lcmf",23,5.77,2.8,0.57,0.8
G. Torres,Deportivo Saprissa,708,"rw, ramf",28,5.72,2.29,0.13,0.38
G. Castro,Cartaginés,567,"ramf, rw, cf",24,5.71,3.49,0.16,0.16
K. Fuller,Herediano,857,"rb, rw, rb5",31,5.57,2.1,0.32,1.05
J. Venegas,San Carlos,1316,"rw, rwb, rb5",38,5.54,2.94,0.21,0.75
A. Monreal,Municipal Liberia,1701,gk,31,5.45,1.9,0,0.63
Claudio Montero,Cartaginés,567,"rw, cf, ramf",20,5.24,1.11,0.48,0.32
T. Demetrius,Guadalupe,862,"cf, lw, rw",21,5.22,1.67,0.42,0.63
K. Cerdas,San Carlos,908,"cf, rcmf, lw",30,5.15,2.48,0,0.2
L. Díaz,Sporting San José,979,"rw, rcmf3",27,5.15,2.02,0.37,0.46
B. Sequeira,Municipal Liberia,688,"rb, rw",28,5.1,3.27,0,1.31
M. Torres,Deportivo Saprissa,1511,"amf, rcmf",39,5,1.43,0.18,0.24
A. Guevara,San Carlos,688,"lw, lcmf3, lwf",37,4.97,1.83,0,0.26
C. Perez,Alajuelense,1149,"lw, rw, rcmf",21,4.93,2.82,0.47,0.86
Bancy Hernández,Deportivo Saprissa,1389,"lw, ramf, lamf",25,4.86,2.2,0.19,0.13
G. Sibaja Pérez,Herediano,616,"rw, lw",17,4.82,2.34,0.29,0.88
R. Ramírez,Municipal Liberia,699,"lw, lcmf3, cf",22,4.76,2.83,0.26,0.39
E. Morales,Guadalupe,985,"lw, rw, lamf",26,4.66,3.02,0.09,0.64
S. Lucumí,Alajuelense,677,"lw, cf, lamf",31,4.65,2.39,0.27,0.13
C. Núñez,Cartaginés,1584,"cf, amf, lcmf",28,4.6,1.88,0.45,0.57
R. Leal,Guadalupe,1025,gk,24,4.48,1.49,0,0.7
K. Briceño,Cartaginés,1867,gk,34,4.48,1.4,0,0.58
A. Madriz,Deportivo Saprissa,1774,gk,22,4.41,1.17,0,0.61
B. Segura,Pérez Zeledón,1156,gk,29,4.13,1.63,0,0.78
A. Hudson,Municipal Liberia,991,"rw, rb5, cf",20,4.09,2.27,0.27,1.27
M. Villalobos Vega,Municipal Liberia,863,"lw, rcmf3, lcmf3",26,4.07,1.88,0.21,0.1
K. Porras,Pérez Zeledón,1063,lw,25,4.06,2.37,0.17,0.17
R. Araya,Herediano,689,"lw, lamf",26,4.05,1.96,0,0.26
A. Cruz,Herediano,1003,"lcmf, rcmf, cf",30,4.04,2.96,0.63,1.17
A. Amador,Guadalupe,893,"lw, rw, lamf",25,4.03,2.22,0,0.4
J. Campbell,Alajuelense,616,"cf, rcmf, amf",33,3.94,1.46,1.02,0.15
J. Hernández,Municipal Liberia,976,"cf, lw",32,3.87,3.23,0.28,1.2
K. Vargas,Alajuelense,702,"lw, lamf, ramf",24,3.85,1.03,0.38,0.26
J. Delgado,Guadalupe,711,gk,32,3.8,1.27,0,0.63
R. Taylor,Puntarenas,881,"lw, lamf, ramf",28,3.78,1.84,0,0.2
Á. Zaldívar,Alajuelense,885,"cf, amf, rw",32,3.76,1.83,0.31,0.51
D. Carvajal,Herediano,1642,gk,37,3.73,1.21,0,0.27
J. Méndez,Sporting San José,1551,"cf, lw",24,3.71,1.91,0.06,0.23
M. González,San Carlos,1547,gk,29,3.67,1.4,0,0.47
D. Colindres,Puntarenas,921,"lwf, cf, lw",41,3.62,0.98,0,0.2
Manuel Moran,Pérez Zeledón,1528,"rw, cf",28,3.59,3.06,0,0.94
L. Moreira,Sporting San José,1646,gk,36,3.55,0.93,0.05,0
J. Ruiz,Guadalupe,983,"cf, amf",32,3.48,1.1,0.37,0.37
A. Hernández,Alajuelense,905,"rw, ramf, lcmf",24,3.48,1.99,0,0.1
J. Mora,Cartaginés,833,"lw, lamf, ramf",22,3.46,2.7,0.11,1.08
O. Sinclair,Deportivo Saprissa,600,"cf, lcmf",28,3.3,2.1,0.15,0.3
W. Ortega,Alajuelense,1452,gk,31,3.29,0.56,0,0.06
R. Cole,Puntarenas,759,"rw, rwf, amf",27,3.2,2.37,0.59,0.47
J. Navarro,Sporting San José,817,"cf, lw",27,3.19,2.09,0.22,1.21
A. Pineda,Puntarenas,1709,gk,29,3.16,1.11,0,0.37
J. Gaete,Cartaginés,737,"lw, rw, lamf",29,3.05,1.71,0.12,0.24
M. Pereira,Pérez Zeledón,1217,cf,21,2.81,2.14,0.44,0.3
J. Venegas,Cartaginés,692,"cf, amf",37,2.73,1.43,0,1.04
Tomás Rodriguez,Deportivo Saprissa,1327,cf,27,2.71,1.49,0.14,0.34
A. Rodríguez,Deportivo Saprissa,538,cf,36,2.68,1.67,0.5,0.84
Junior Maleck,Guadalupe,823,cf,27,2.3,1.09,0.11,0.33
R. Márquez,Cartaginés,954,cf,28,2.26,1.42,0.38,0.47
B. Martínez,San Carlos,907,cf,29,2.18,1.89,0.1,1.09
M. George,Sporting San José,978,cf,32,2.02,1.47,0,0.64
M. Ureña,Sporting San José,676,"cf, amf",36,1.86,1.46,0,0.4
D. Rodríguez,Puntarenas,971,"cf, rw, ramf",23,1.85,1.39,0.28,0.74
F. Lesme,Municipal Liberia,549,cf,24,1.8,1.48,0,0.49
M. Hernández,Herediano,1278,cf,36,1.69,2.54,0,1.55
R. Cisneros,Alajuelense,1412,cf,29,1.66,1.27,0.19,0.51
R. Carballo,Puntarenas,1212,cf,30,1.49,0.74,0.07,0.22
J. Aguilar,San Carlos,1171,"cf, rw, amf",31,1.46,1.15,0.08,0.92
E. Torres,Municipal Liberia,1121,cf,33,1.45,1.36,0,0.64
