jugador(a),Equipo,Minutos disputados,Posiciones,Edad,Ganancia de duelos,Ganancia de encares,Ganancia de duelos aéreos de campo ganados,Posesión perdida peligrosa en campo propio p90
O. Sinclair,Deportivo Saprissa,600,"cf, lcmf",28,42.22,42.86,46.15,0
J. Huertas,Municipal Liberia,1117,"cb, rcb, rb",31,55.86,54.55,46.15,0.4
R. Parkins,Alajuelense,998,"dmf, lcmf, ldmf",25,58.02,33.33,45.83,0.9
J. Mora,Cartaginés,833,"lw, lamf, ramf",22,46.03,50,45.45,0.22
C. Barahona,Cartaginés,1131,rb,23,54.66,42.86,45.45,0.64
D. Araya,Herediano,1475,"lb, lb5, lw",25,54.1,57.58,45.28,0.24
S. Acuña,Deportivo Saprissa,788,"rdmf, dmf, rcmf",23,60.27,52.94,45,0.8
E. Pastrana,Pérez Zeledón,1492,lcb,26,54.25,42.86,44.62,0.78
S. Johnson,Municipal Liberia,1462,"rb5, rb, rw",23,55.16,54.35,44.44,0.55
G. Castillo,San Carlos,1368,"lb, lb5, lwb",24,54.24,39.13,44.12,0.33
H. Quirós,Herediano,1236,"rb, rb5",27,51.87,52.38,43.75,0.58
B. Bonilla,Guadalupe,741,"rcmf, lb5, rdmf",29,58.39,46.67,43.75,0.24
R. Márquez,Cartaginés,954,cf,28,35.96,0,43.18,0.09
D. Colindres,Puntarenas,921,"lwf, cf, lw",41,34.17,40,42.86,0.1
J. Venegas,San Carlos,1316,"rw, rwb, rb5",38,44.9,20,42.5,0.27
R. Cordoba,San Carlos,1387,"rcmf, lcmf, rcmf3",27,47.6,43.75,41.94,0.39
A. Cruz,Herediano,1003,"lcmf, rcmf, cf",30,47.83,33.33,41.67,0.36
Manuel Moran,Pérez Zeledón,1528,"rw, cf",28,38.83,16.67,41.18,0.47
E. Aguilar,Herediano,1332,"rcmf, rw, amf",34,54.41,37.5,40.91,0.27
D. Rodríguez,Puntarenas,971,"cf, rw, ramf",23,32.81,25,40.32,0.46
T. Demetrius,Guadalupe,862,"cf, lw, rw",21,40.64,41.67,40,0.21
J. Brenes,Deportivo Saprissa,900,"lcmf, ldmf",29,46.2,44.44,40,0.3
R. Blanco,Deportivo Saprissa,777,rb,37,50.94,61.9,40,0.23
F. Khatami,Puntarenas,1385,"lcb3, lcmf, lcb",21,49.12,41.67,39.13,0.45
M. Hernández,Herediano,1278,cf,36,34.94,0,38.58,0.28
J. Valverde,Sporting San José,762,"rb, rb5, rw",30,48.89,27.27,38.46,0.59
R. Rodríguez,Pérez Zeledón,930,"rcb, rb",23,51.1,50,38.46,0.87
L. Hernández,Pérez Zeledón,1554,"lb, lb5",28,52.63,45.28,38.46,0.75
A. Soto,San Carlos,1575,"lw, cf, lcmf",23,44.52,53.85,38.3,0.63
C. Perez,Alajuelense,1149,"lw, rw, rcmf",21,38.13,27.78,38.24,0.39
J. Méndez,Sporting San José,1551,"cf, lw",24,41.48,37.5,37.5,0.29
R. Araya,Herediano,689,"lw, lamf",26,45.57,42.86,37.5,0
J. Aguirre,Pérez Zeledón,905,"lcmf, rcmf, dmf",35,45.96,41.18,37.5,1.19
