jugador(a),Equipo,Minutos disputados,Posiciones,Edad,Duelos aéreos ganados p90,Remates de cabeza p90,Ganancia de duelos aéreos de campo ganados
Bancy Hernández,Deportivo Saprissa,1389,"lw, ramf, lamf",25,1.3,0.13,51.28
G. Taylor,Deportivo Saprissa,1525,"rb, dmf",25,1.3,0.12,55
J. Rivera Stuart,Pérez Zeledón,1115,"rb, rb5",29,1.29,0,59.26
Y. Hernández,Municipal Liberia,904,"lcmf, lcmf3, rcmf",30,1.29,0,72.22
J. Venegas,San Carlos,1316,"rw, rwb, rb5",38,1.16,0.07,42.5
K. Espinoza,Sporting San José,561,"rcb3, rcb",29,1.12,0,46.67
T. Demetrius,Guadalupe,862,"cf, lw, rw",21,1.04,0.21,40
S. Acuña,Deportivo Saprissa,788,"rdmf, dmf, rcmf",23,1.03,0,45
D. López,Cartaginés,1412,"rcmf, lcmf, cf",27,1.02,0.13,34.78
C. Perez,Alajuelense,1149,"lw, rw, rcmf",21,1.02,0.16,38.24
H. Quirós,Herediano,1236,"rb, rb5",27,1.02,0.22,43.75
Á. Zaldívar,Alajuelense,885,"cf, amf, rw",32,1.02,0.51,25.64
R. Taylor,Puntarenas,881,"lw, lamf, ramf",28,1.02,0.41,27.03
J. Ruiz,Guadalupe,983,"cf, amf",32,1.01,0.09,30.56
R. Parkins,Alajuelense,998,"dmf, lcmf, ldmf",25,0.99,0.18,45.83
G. Castillo,San Carlos,1368,"lb, lb5, lwb",24,0.99,0.07,44.12
J. Mora,Deportivo Saprissa,555,"lb, lwb",33,0.97,0,30
U. Segura,Puntarenas,1389,"lcmf, rcmf, amf",32,0.97,0,36.59
J. Huertas,Municipal Liberia,1117,"cb, rcb, rb",31,0.97,0.08,46.15
R. Cole,Puntarenas,759,"rw, rwf, amf",27,0.95,0.36,57.14
Claudio Montero,Cartaginés,567,"rw, cf, ramf",20,0.95,0.16,35.29
R. Blanco,Deportivo Saprissa,777,rb,37,0.93,0,40
J. Guadamúz,Municipal Liberia,1471,"lb5, lb, lw",21,0.92,0,51.72
I. Gómez,Puntarenas,1560,"lwb, lb5, lb",27,0.92,0,37.21
A. Murillo,Herediano,793,"rcmf, lcmf, lcmf3",28,0.91,0.11,53.33
