jugador(a),Equipo,Minutos disputados,Posiciones,Edad,Duelos defensivos ganados p90,Regates evitados p90,Balones divididos ganados p90,Faltas p90
M. Angulo,Guadalupe,1535,"lcmf, rcmf, ldmf",39,3.52,0.7,1.23,0.64
R. Cordoba,San Carlos,1387,"rcmf, lcmf, rcmf3",27,3.5,0.45,0.65,1.23
R. Parkins,Alajuelense,998,"dmf, lcmf, ldmf",25,3.43,0.36,1.17,1.35
R. Miranda,Guadalupe,1575,"cb, lcb, rcb",30,3.43,0.51,0.91,0.4
F. Faerrón,Cartaginés,1025,lcb,25,3.42,0.79,0.79,0.79
A. Cruz,Herediano,1003,"lcmf, rcmf, cf",30,3.41,0.27,0.63,0.72
E. Pastrana,Pérez Zeledón,1492,lcb,26,3.38,0.72,1.21,0.36
A. Salazar,Alajuelense,1451,"rcb, rcb3, rb",27,3.35,0.56,1.8,0.74
C. Reyes,Municipal Liberia,1459,"lcb, lcb3, rcb3",30,3.33,1.05,0.74,0.74
S. Lucumí,Alajuelense,677,"lw, cf, lamf",31,3.32,0.8,0.8,2.26
O. Sinclair,Deportivo Saprissa,600,"cf, lcmf",28,3.3,0.45,0.6,1.5
E. Morales,Guadalupe,985,"lw, rw, lamf",26,3.29,0.37,1.37,1.55
P. Arboine,Deportivo Saprissa,1628,rcb,28,3.26,0.83,0.77,0.72
D. González,Cartaginés,833,lb,30,3.24,1.08,0.32,1.3
R. Blanco,Deportivo Saprissa,777,rb,37,3.24,1.51,0.93,1.16
J. Rivera Stuart,Pérez Zeledón,1115,"rb, rb5",29,3.23,0.65,1.21,1.21
K. Vargas,Alajuelense,702,"lw, lamf, ramf",24,3.21,0.38,0.9,1.67
J. Brenes,Deportivo Saprissa,900,"lcmf, ldmf",29,3.2,0.8,0.9,3
Bancy Hernández,Deportivo Saprissa,1389,"lw, ramf, lamf",25,3.17,0.52,1.17,1.3
M. Pereira,Cartaginés,1408,"lcb, rcb",31,3.13,1.09,0.96,0.83
T. Demetrius,Guadalupe,862,"cf, lw, rw",21,3.13,0.52,1.46,1.46
D. Ramírez Bolaños,Sporting San José,666,"lw, rw, cf",21,3.11,0.41,0.95,1.35
G. Sibaja Pérez,Herediano,616,"rw, lw",17,3.07,0.29,1.02,2.05
J. Valverde,Sporting San José,762,"rb, rb5, rw",30,3.07,0.35,1.77,1.77
R. Taylor,Puntarenas,881,"lw, lamf, ramf",28,3.06,0.1,0.61,1.12
L. Díaz,Sporting San José,979,"rw, rcmf3",27,3.03,0.64,0.55,1.38
G. Castro,Cartaginés,567,"ramf, rw, cf",24,3.02,0.63,0.63,1.27
R. Araya,Herediano,689,"lw, lamf",26,3,0.39,0.91,0.78
D. Mesén,Cartaginés,1324,rcb,27,2.99,0.61,1.43,1.02
G. González,Sporting San José,1568,"rcb, cb",38,2.98,0.52,0.57,0.8
E. Aguilar,Herediano,1332,"rcmf, rw, amf",34,2.97,0.41,1.22,1.01
K. Gómez,Puntarenas,1434,"rb5, rwb, rb",26,2.95,0.88,0.56,0.88
C. Borges,Alajuelense,915,"rcmf, rdmf",38,2.95,1.08,1.28,0.79
J. Campbell,Alajuelense,616,"cf, rcmf, amf",33,2.92,0.73,0.44,2.05
S. Zúñiga,Cartaginés,1683,"lb, rw",29,2.89,0.59,0.7,0.21
J. Agüero,San Carlos,1748,"cb, lcb, rcb",32,2.83,0.51,1.03,0.67
L. Flores,Cartaginés,1668,"rcmf, lcmf, ldmf",32,2.81,0.76,0.59,0.81
J. Gaete,Cartaginés,737,"lw, rw, lamf",29,2.81,0.24,0.98,1.95
R. Cole,Puntarenas,759,"rw, rwf, amf",27,2.61,0.36,0.24,0.71
W. Fernández,Pérez Zeledón,1726,"rcb, lcb",32,2.61,0.73,0.94,0.57
J. Venegas,San Carlos,1316,"rw, rwb, rb5",38,2.6,0.21,0.82,1.3
M. Pereira,Pérez Zeledón,1217,cf,21,2.59,0.07,1.55,1.85
R. Ramírez,Municipal Liberia,699,"lw, lcmf3, cf",22,2.58,0.39,0.39,1.55
J. Méndez,Sporting San José,1551,"cf, lw",24,2.55,0.17,1.91,1.33
A. Amador,Guadalupe,893,"lw, rw, lamf",25,2.52,0.4,0.91,1.31
C. Perez,Alajuelense,1149,"lw, rw, rcmf",21,2.43,0.39,1.25,1.49
