jugador(a),Equipo,Minutos disputados,Posiciones,Edad,Goles p90,Remates p90,Remates a puerta p90,Conversión de gol,xG p90
J. Mora,Cartaginés,833,"lw, lamf, ramf",22,0.11,1.19,0.32,9.091,0.17
K. Porras,Pérez Zeledón,1063,lw,25,0.17,1.19,0.42,14.29,0.14
G. Sibaja Pérez,Herediano,616,"rw, lw",17,0,1.17,0.15,0,0.09
K. Fuller,Herediano,857,"rb, rw, rb5",31,0.11,1.16,0.32,9.091,0.11
E. Aguilar,Herediano,1332,"rcmf, rw, amf",34,0,1.15,0.41,0,0.05
Y. Salinas,Sporting San José,891,"rb, rcb3, rb5",27,0.2,1.11,0.4,18.18,0.16
R. Bolaños,Sporting San José,996,lb,27,0.09,1.08,0.45,8.333,0.07
D. González,Cartaginés,833,lb,30,0.22,1.08,0.43,20,0.03
B. Alfaro,Cartaginés,589,"lcmf, rcmf, ldmf",29,0,1.07,0.15,0,0.05
D. Guzmán,Deportivo Saprissa,922,"ldmf, dmf, rcmf",36,0.2,1.07,0.2,18.18,0.16
S. Lucumí,Alajuelense,677,"lw, cf, lamf",31,0.13,1.06,0.4,12.5,0.1
J. Leiva,Puntarenas,600,"rcmf, rdmf",33,0,1.05,0.45,0,0.17
S. Acuña,Deportivo Saprissa,788,"rdmf, dmf, rcmf",23,0,1.03,0.23,0,0.03
D. Masis,San Carlos,534,"lb5, lb, lwb",21,0,1.01,0.34,0,0.05
J. Hernández,Municipal Liberia,976,"cf, lw",32,0.37,1.01,0.55,36.36,0.18
K. Cerdas,San Carlos,908,"cf, rcmf, lw",30,0,0.99,0.3,0,0.08
R. Rodríguez,Pérez Zeledón,930,"rcb, rb",23,0,0.97,0,0,0.11
J. Valverde,Sporting San José,762,"rb, rb5, rw",30,0,0.94,0.35,0,0.09
A. Murillo,Herediano,793,"rcmf, lcmf, lcmf3",28,0.11,0.91,0.11,12.5,0.08
F. Piñar,Alajuelense,1094,rb,24,0.08,0.9,0.49,9.091,0.13
G. Taylor,Deportivo Saprissa,1525,"rb, dmf",25,0,0.89,0.18,0,0.03
L. Hernández,Pérez Zeledón,1554,"lb, lb5",28,0.12,0.87,0.35,13.33,0.03
G. González,Sporting San José,1568,"rcb, cb",38,0.11,0.86,0.23,13.33,0.22
