jugador(a),Equipo,Minutos disputados,Posiciones,Edad,Recuperaciones peligrosas en campo rival p90,Acciones defensivas exitosas p90,Recuperaciones por contrapresión p90
K. Fuller,Herediano,857,"rb, rw, rb5",31,0.32,7.35,3.15
Claudio Montero,Cartaginés,567,"rw, cf, ramf",20,0.32,3.65,3.17
J. Mora,Deportivo Saprissa,555,"lb, lwb",33,0.32,8.92,3.24
C. Perez,Alajuelense,1149,"lw, rw, rcmf",21,0.31,5.72,3.21
Y. Hernández,Municipal Liberia,904,"lcmf, lcmf3, rcmf",30,0.3,8.66,3.19
W. Decas,Puntarenas,1505,"cb, lcb, lcb3",26,0.3,8.49,5.5
E. Drummond Arroyo,Pérez Zeledón,903,"lcmf, dmf, rcmf",20,0.3,8.37,4.39
I. Gómez,Puntarenas,1560,"lwb, lb5, lb",27,0.29,8.31,2.94
H. Quirós,Herediano,1236,"rb, rb5",27,0.29,8.81,3.86
R. Márquez,Cartaginés,954,cf,28,0.28,3.4,1.89
D. Rodríguez,Puntarenas,971,"cf, rw, ramf",23,0.28,2.69,1.11
F. Khatami,Puntarenas,1385,"lcb3, lcmf, lcb",21,0.26,7.28,4.74
K. Vargas,Alajuelense,702,"lw, lamf, ramf",24,0.26,4.62,1.54
C. Martínez,San Carlos,1415,"lcmf, dmf, cb",32,0.25,7.89,5.28
A. Salazar,Alajuelense,1451,"rcb, rcb3, rb",27,0.25,7.75,3.23
R. Cole,Puntarenas,759,"rw, rwf, amf",27,0.24,5.57,2.37
J. Rivera Stuart,Pérez Zeledón,1115,"rb, rb5",29,0.24,7.91,2.99
L. Hernández,Pérez Zeledón,1554,"lb, lb5",28,0.23,10.37,2.84
R. Miranda,Guadalupe,1575,"cb, lcb, rcb",30,0.23,9.37,4.97
R. Blanco,Deportivo Saprissa,777,rb,37,0.23,6.83,2.78
J. Aguilar,San Carlos,1171,"cf, rw, amf",31,0.23,2.38,1.15
S. Taylor,Deportivo Saprissa,1634,"rb, rb5",22,0.22,11.68,3.3
J. Mora,Cartaginés,833,"lw, lamf, ramf",22,0.22,5.08,1.3
D. González,Cartaginés,833,lb,30,0.22,6.91,3.67
J. Venegas,San Carlos,1316,"rw, rwb, rb5",38,0.21,5.74,2.67
W. Fernández,Pérez Zeledón,1726,"rcb, lcb",32,0.21,7.14,3.13
A. Hernández,Alajuelense,905,"rw, ramf, lcmf",24,0.2,3.68,1.59
B. Martínez,San Carlos,907,cf,29,0.2,3.57,1.69
R. Rodríguez,Pérez Zeledón,930,"rcb, rb",23,0.19,10.16,6
D. Araya,Herediano,1475,"lb, lb5, lw",25,0.18,7.81,4.15
R. Bolaños,Sporting San José,996,lb,27,0.18,9.04,4.88
H. Muñoz,Puntarenas,1490,"rcb3, rcb, rb",31,0.18,7.61,4.65
E. Pastrana,Pérez Zeledón,1492,lcb,26,0.18,10.38,5.25
A. Soto,Sporting San José,1520,"lcb, lcb3",34,0.18,8.53,4.91
M. George,Sporting San José,978,cf,32,0.18,2.58,1.66
L. Díaz,Sporting San José,979,"rw, rcmf3",27,0.18,5.42,1.93
S. Johnson,Municipal Liberia,1462,"rb5, rb, rw",23,0.18,8.25,3.39
G. González,Sporting San José,1568,"rcb, cb",38,0.17,7.75,4.71
D. Masis,San Carlos,534,"lb5, lb, lwb",21,0.17,7.75,3.71
J. Rubio,Herediano,1619,"lcb, lcb3",29,0.17,9.39,5.45
E. Torres,Municipal Liberia,1121,cf,33,0.16,2.33,0.88
F. Lesme,Municipal Liberia,549,cf,24,0.16,3.44,0.82
G. Sibaja Pérez,Herediano,616,"rw, lw",17,0.15,5.7,3.21
B. Alfaro,Cartaginés,589,"lcmf, rcmf, ldmf",29,0.15,4.13,4.74
K. Gutiérrez,Puntarenas,628,"cb, rcb, rcb3",36,0.14,5.88,5.3
D. Mesén,Cartaginés,1324,rcb,27,0.14,7.48,4.69
M. Pereira,Cartaginés,1408,"lcb, rcb",31,0.13,7.8,4.73
K. Gómez,Puntarenas,1434,"rb5, rwb, rb",26,0.13,6.03,3.2
J. Guadamúz,Municipal Liberia,1471,"lb5, lb, lw",21,0.12,11.56,3.67
S. van der Putten,Alajuelense,730,"rcb, cb",21,0.12,9.74,3.21
A. Gamboa,Alajuelense,737,"lcb, lcb3",27,0.12,8.67,4.76
P. Arboine,Deportivo Saprissa,1628,rcb,28,0.11,6.86,3.87
Y. Salinas,Sporting San José,891,"rb, rcb3, rb5",27,0.1,7.47,2.12
R. Parkins,Alajuelense,998,"dmf, lcmf, ldmf",25,0.09,8.12,3.97
W. Francis,Municipal Liberia,1026,"lcb3, lb5, lb",35,0.09,8.51,3.42
A. Hudson,Municipal Liberia,991,"rw, rb5, cf",20,0.09,6.54,2.63
C. Barahona,Cartaginés,1131,rb,23,0.08,8.12,2.79
F. Piñar,Alajuelense,1094,rb,24,0.08,7.73,2.39
K. Guzmán,Guadalupe,1361,"rcb, rcb3",29,0.07,8.2,4.5
G. Villalobos,Alajuelense,1357,"lcb, rcb, cb",24,0.07,11.47,3.85
C. Reyes,Municipal Liberia,1459,"lcb, lcb3, rcb3",30,0.06,8.14,2.96
Y. Molina,Municipal Liberia,1544,"rcb3, rcb",30,0.06,8.63,3.61
J. Agüero,San Carlos,1748,"cb, lcb, rcb",32,0.05,7.47,4.94
A. Pineda,Puntarenas,1709,gk,29,0,1.11,0.37
R. Rivera,San Carlos,1108,"rcb3, rb, rwb",27,0,9.91,4.39
K. Espinoza,Sporting San José,561,"rcb3, rcb",29,0,10.91,2.89
G. Montes,Herediano,784,"rcb, rcb3, cb",29,0,10.33,5.51
A. Madriz,Deportivo Saprissa,1774,gk,22,0,1.22,0.25
M. Ajú,Pérez Zeledón,598,gk,26,0,2.41,0.6
M. González,San Carlos,1547,gk,29,0,1.51,0.23
A. Monreal,Municipal Liberia,1701,gk,31,0,1.9,0.53
K. Fajardo,Guadalupe,714,"lcb3, lcb",36,0,10.84,4.54
L. Moreira,Sporting San José,1646,gk,36,0,0.98,0.38
D. Carvajal,Herediano,1642,gk,37,0,1.21,0.33
K. Briceño,Cartaginés,1867,gk,34,0,1.54,1.11
K. Brown,Herediano,1232,"rcb, cb, lcb",34,0,8.25,4.46
J. Delgado,Guadalupe,711,gk,32,0,1.39,1.01
R. Leal,Guadalupe,1025,gk,24,0,1.58,0.79
W. Ortega,Alajuelense,1452,gk,31,0,0.56,0.5
M. Hernández,Herediano,1278,cf,36,0,3.8,1.13
Y. Piedra,San Carlos,936,"lcb3, lcb",32,0,11.15,5
P. Fonseca,San Carlos,625,"rcb3, rb",27,0,9.79,5.18
B. Segura,Pérez Zeledón,1156,gk,29,0,1.79,0.39
J. Huertas,Municipal Liberia,1117,"cb, rcb, rb",31,0,6.69,2.42
