jugador(a),Equipo,Minutos disputados,Posiciones,Edad,Pases recibidos p90,Pivoteos p90,Pérdidas p90,Toques en el área p90
D. Mesén,Cartaginés,1324,rcb,27,19.71,0,6.25,0.82
E. Pastrana,Pérez Zeledón,1492,lcb,26,19.66,0,8.99,0.48
Bancy Hernández,Deportivo Saprissa,1389,"lw, ramf, lamf",25,19.57,2.14,11.27,3.37
R. Blanco,Deportivo Saprissa,777,rb,37,19.46,0.12,9.03,0.35
P. Arboine,Deportivo Saprissa,1628,rcb,28,19.35,0,6.08,0.5
J. Azofeifa,Deportivo Saprissa,1306,lb,25,19.23,0,10.41,0.48
M. Villalobos Vega,Municipal Liberia,863,"lw, rcmf3, lcmf3",26,19.19,0.1,10.53,1.88
C. Perez,Alajuelense,1149,"lw, rw, rcmf",21,18.88,0.55,10.73,2.51
Manuel Moran,Pérez Zeledón,1528,"rw, cf",28,18.55,1.47,13.49,2
K. Fajardo,Guadalupe,714,"lcb3, lcb",36,18.4,0,9.83,0.5
D. Colindres,Puntarenas,921,"lwf, cf, lw",41,18.27,1.27,12.61,3.22
R. Cole,Puntarenas,759,"rw, rwf, amf",27,18.26,0.47,8.42,3.2
K. Fuller,Herediano,857,"rb, rw, rb5",31,18.17,0.21,9.87,2.21
F. Piñar,Alajuelense,1094,rb,24,18.02,0,9.3,1.23
L. Hernández,Pérez Zeledón,1554,"lb, lb5",28,17.84,0,12.1,0.46
S. Acuña,Deportivo Saprissa,788,"rdmf, dmf, rcmf",23,17.82,0,7.42,0.57
J. Huertas,Municipal Liberia,1117,"cb, rcb, rb",31,17.73,0,6.85,0.48
G. Taylor,Deportivo Saprissa,1525,"rb, dmf",25,17.53,0,10.21,0.94
J. Aguirre,Pérez Zeledón,905,"lcmf, rcmf, dmf",35,17.4,0.5,9.94,1.99
F. Coronado,Sporting San José,814,"rcmf, dmf, rdmf",24,17.36,0,10.39,1.22
L. Paradela,Deportivo Saprissa,1132,"lw, lamf, ramf",29,17.25,1.51,10.97,4.45
Alejandro Porras,Pérez Zeledón,739,"rcmf, lcmf, rdmf",30,17.05,0,8.4,0.73
K. Guzmán,Guadalupe,1361,"rcb, rcb3",29,16.93,0,10.12,0.86
E. Drummond Arroyo,Pérez Zeledón,903,"lcmf, dmf, rcmf",20,16.64,0,6.18,0.4
G. Méndez,Guadalupe,1666,"lb, lb5",34,16.58,0,10.48,0.81
A. Soto,San Carlos,1575,"lw, cf, lcmf",23,16.4,0.57,11.14,1.2
C. Reyes,Municipal Liberia,1459,"lcb, lcb3, rcb3",30,16.35,0,7.28,0.62
J. Aguilar,San Carlos,1171,"cf, rw, amf",31,16.29,1.31,9.61,2.46
