jugador(a),Equipo,Minutos disputados,Posiciones,Edad,Asistencias p90,xG asistido p90,Pases filtrados p90,Asistencias a tiros p90,Centros precisos p90,Pases inteligentes p90
J. Guadamúz,Municipal Liberia,1471,"lb5, lb, lw",21,0.06,0.05,0.73,0.92,0.86,0
M. Pereira,Cartaginés,1408,"lcb, rcb",31,0.06,0.03,0.13,0.32,0.19,0
J. Rubio,Herediano,1619,"lcb, lcb3",29,0.06,0.03,0.72,0.17,0.11,0
C. Reyes,Municipal Liberia,1459,"lcb, lcb3, rcb3",30,0.06,0.02,0.12,0.19,0,0
S. Rodríguez,Herediano,1585,"dmf, rcb3, lcmf",30,0.06,0.04,0.57,0.17,0.11,0.17
L. Hernández,Pérez Zeledón,1554,"lb, lb5",28,0.06,0.06,0.41,0.75,0.58,0.12
C. Núñez,Cartaginés,1584,"cf, amf, lcmf",28,0.06,0.08,0.28,0.74,0.06,0.17
U. Segura,Puntarenas,1389,"lcmf, rcmf, amf",32,0.06,0.14,0.91,1.43,0.39,0.32
K. Gómez,Puntarenas,1434,"rb5, rwb, rb",26,0.06,0.22,0.25,1.38,1.63,0.06
E. Pastrana,Pérez Zeledón,1492,lcb,26,0.06,0.04,0.84,0.3,0.18,0.06
A. Soto,San Carlos,1575,"lw, cf, lcmf",23,0.06,0.1,0.23,0.8,0.51,0.06
S. Zúñiga,Cartaginés,1683,"lb, rw",29,0.05,0.08,1.02,1.12,0.96,0.11
W. Fernández,Pérez Zeledón,1726,"rcb, lcb",32,0.05,0,0.57,0.05,0,0.05
L. Flores,Cartaginés,1668,"rcmf, lcmf, ldmf",32,0,0.04,1.03,0.54,0.27,0.11
S. Lucumí,Alajuelense,677,"lw, cf, lamf",31,0,0.13,0.27,1.86,0.27,0.4
R. Blanco,Deportivo Saprissa,777,rb,37,0,0.02,0.46,0.69,1.16,0
J. Leiva,Puntarenas,600,"rcmf, rdmf",33,0,0.03,0.3,0.15,0.15,0
J. Aguirre,Pérez Zeledón,905,"lcmf, rcmf, dmf",35,0,0.02,0.2,0.5,0.3,0.2
R. Miranda,Guadalupe,1575,"cb, lcb, rcb",30,0,0.01,0.11,0.17,0.06,0
D. Ramírez Bolaños,Sporting San José,666,"lw, rw, cf",21,0,0.01,0,0.27,0.27,0
A. Rodríguez,Deportivo Saprissa,538,cf,36,0,0.11,0.5,1.17,0.17,0.33
E. Torres,Municipal Liberia,1121,cf,33,0,0.02,0,0.4,0,0
Y. Piedra,San Carlos,936,"lcb3, lcb",32,0,0,0.38,0.1,0,0
J. Agüero,San Carlos,1748,"cb, lcb, rcb",32,0,0,0.15,0.05,0.05,0
A. Matarrita,Deportivo Saprissa,563,"dmf, lcb3, rb",21,0,0.06,0.8,0.32,0.32,0.16
A. Hudson,Municipal Liberia,991,"rw, rb5, cf",20,0,0.08,0.18,0.64,0.82,0
A. Hernández,Alajuelense,905,"rw, ramf, lcmf",24,0,0.09,0.2,0.8,0.8,0.2
Alejandro Porras,Pérez Zeledón,739,"rcmf, lcmf, rdmf",30,0,0.01,0,0.24,0.12,0
B. Segura,Pérez Zeledón,1156,gk,29,0,0,0,0,0,0
Claudio Montero,Cartaginés,567,"rw, cf, ramf",20,0,0.1,0,0.32,1.11,0
D. Guzmán,Deportivo Saprissa,922,"ldmf, dmf, rcmf",36,0,0.05,0.49,0.98,0.1,0
K. Fajardo,Guadalupe,714,"lcb3, lcb",36,0,0,0.25,0,0.25,0.13
A. Soto,Sporting San José,1520,"lcb, lcb3",34,0,0,0.59,0.24,0.18,0
J. Venegas,Cartaginés,692,"cf, amf",37,0,0.05,0.13,0.52,0.13,0.26
J. Mora,Deportivo Saprissa,555,"lb, lwb",33,0,0.01,0,0.49,0.32,0
L. Moreira,Sporting San José,1646,gk,36,0,0,0.05,0,0,0
F. Khatami,Puntarenas,1385,"lcb3, lcmf, lcb",21,0,0,0.32,0.13,0.13,0
M. Angulo,Guadalupe,1535,"lcmf, rcmf, ldmf",39,0,0.07,0.64,1.23,0.06,0.18
J. Huertas,Municipal Liberia,1117,"cb, rcb, rb",31,0,0,0.16,0.08,0.24,0
D. Carvajal,Herediano,1642,gk,37,0,0,0.05,0,0,0
K. Brown,Herediano,1232,"rcb, cb, lcb",34,0,0,0,0,0,0
M. Pereira,Pérez Zeledón,1217,cf,21,0,0.07,0.15,0.81,0.37,0
K. Gutiérrez,Puntarenas,628,"cb, rcb, rcb3",36,0,0,0.14,0,0.29,0
G. González,Sporting San José,1568,"rcb, cb",38,0,0.03,0.34,0.23,0,0
Al. López,Sporting San José,1262,"rcmf, lcmf, lcmf3",33,0,0.17,2,2.28,0.29,0.14
J. Delgado,Guadalupe,711,gk,32,0,0,0,0,0,0
S. Taylor,Deportivo Saprissa,1634,"rb, rb5",22,0,0.01,0.11,0.28,0.28,0.06
J. Aguilar,San Carlos,1171,"cf, rw, amf",31,0,0.15,0.08,0.77,0.15,0
D. Colindres,Puntarenas,921,"lwf, cf, lw",41,0,0.06,0.29,1.07,0.39,0
K. Briceño,Cartaginés,1867,gk,34,0,0,0.24,0,0,0
